sentence,label,idx,global_idx
"Finnish publisher Alma Media ( HEL : ALN1V ) said Wednesday it has decided to further extend its EUR1 .85 ( USD2 .75 ) apiece mandatory tender offer for media group Talentum ( HEL : TTM1V ) , which started on 19 August , until 16 November .",1,4224,1004224
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",0,5161,1005161
The right margin will be viewed separately in detail with every customer .,1,11041,1011041
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,1,3818,1003818
"As a result of the negotiations , the company will terminate total 5 employment contracts .",0,12746,1012746
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",2,190,1000190
The value of the total investment is about EUR 600mn .,1,1537,1001537
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,0,5596,1005596
"Also in Latvia , we act as a partner for bakery customers in both production and product development .",1,12729,1012729
"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m .",1,2635,1002635
"The customer is then forwarded to the site , and unknown to him logged in with the first number .",1,13751,1013751
"The development of the technological park , which will specialize in telecommunications and information technologies , is part of the state program for the formation of technoparks for hi-tech sectors in Russia .",1,1072,1001072
"mr Bakman sees also expansion options on the Tallinn-Helisnki link , claiming however , that operating the link with only a single ship is not enough .",1,7829,1007829
It has been agreed with the company 's Board of Directors that she will be available in an advisory role .,1,4279,1004279
"As earlier reported , Nokian Tyres is building a plant in the town of Vsevolozhsk in Russia 's Leningrad Region with an annual production capacity of 4 million tires .",1,10352,1010352
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,0,13948,1013948
"Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business .",1,5325,1005325
The Board of Directors was authorized to decide on other terms of the share issue .,1,3965,1003965
"Under the terms of the off-take agreement with Talvivaara , Cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit .",2,10395,1010395
"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",1,1162,1001162
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",0,9753,1009753
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",0,9832,1009832
"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",1,11635,1011635
"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",1,12727,1012727
"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) .",1,8608,1008608
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",0,9780,1009780
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes .",0,14727,1014727
Nokia said the outcome was a `` fair and responsible social plan . '',1,11840,1011840
Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .,1,12772,1012772
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier .",0,5673,1005673
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",2,6445,1006445
"While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds .",1,11814,1011814
The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,2,10316,1010316
"Technopolis has Finnish operations in Oulu , Vantaa , Espoo , Lappeenranta , Jyvaskyla and Tampere and is also preparing to expand its operations to Russia .",1,13687,1013687
"Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees .",1,931,1000931
"Finnish real estate company Sponda Oyj said on April 11 , 2008 it would build Vuosaari Harbour Service Center at the Port of Helsinki .",1,4225,1004225
Operating profit of the Asian plants grew markedly .,2,2562,1002562
The planned ethanol and energy production plant can operate in correlation with a waste treatment unit or a paper mill .,1,5184,1005184
The reductions will be concluded by autumn 2010 .,1,1494,1001494
"Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .",1,9358,1009358
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",1,13648,1013648
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,1,11314,1011314
"The Tekla Structures 16 installation has been built according to Microsoft 's requirements for the Windows 7 certification , the Company added .",1,4604,1004604
"`` I 'm happy with the outcome , '' Sneed said after the hearing .",2,11061,1011061
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",0,5105,1005105
"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port .",1,1521,1001521
The company will build altogether 130 new substations by the end of this year .,1,12152,1012152
"Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level .",1,8932,1008932
"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well .",1,1652,1001652
