text1,text2,label,idx,label_text,global_idx
Men had the right to keep their sons working for them until they were 21 years of age.,Men had the right to keep their sons working for them until the sons were 21 years of age.,1,313,entailment,1000313
"Mark became absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.",Blaze took upon himself the feeding and care of the animal.,0,198,not entailment,1000198
"During a game of tag, Ethan chased Luke because he was ""it"".","Luke was ""it"".",0,141,not entailment,1000141
The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.,The oak tree is to the right of the bookcase.,0,494,not entailment,1000494
"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Dr. Vardi to steal nuclear material from an army vault.,0,561,not entailment,1000561
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",George was particularly eager to see it.,0,5,not entailment,1000005
Joan made sure to thank Susan for all the help she had given.,Joan made sure to thank Susan for all the help Joan had given.,0,432,not entailment,1000432
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.",Prehistoric humans hunted for evidence on the river banks.,0,570,not entailment,1000570
The man lifted the boy onto his bunk bed.,The man lifted the boy onto the boy's bunk bed.,1,442,entailment,1000442
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be unnecessary.,The ankles should be unnecessary.,0,532,not entailment,1000532
"By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.",Tatyana doubted if her mother slept.,1,100,entailment,1000100
The sculpture rolled off the shelf because it wasn't level.,The sculpture wasn't level.,0,435,not entailment,1000435
Joe paid the detective after he delivered the final report on the case.,Joe delivered the final report on the case.,0,272,not entailment,1000272
The fish ate the worm. It was hungry.,The worm was hungry.,0,80,not entailment,1000080
"There is a pillar between me and the stage, and I can't see it.",I can't see around the pillar.,0,611,not entailment,1000611
The politicians far away in Washington could not know the settlers so they must make rules to regulate them.,They must make rules to regular the politicians.,0,64,not entailment,1000064
Emma did not pass the ball to Janie although she saw that she was open.,Janie saw that she was open.,0,104,not entailment,1000104
Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Goodman faced in his childhood.,0,502,not entailment,1000502
Tom gave Ralph a lift to school so he wouldn't have to drive alone.,Ralph wouldn't have to drive alone.,0,525,not entailment,1000525
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.",Adam would have lost.,1,391,entailment,1000391
